ID,ACTIVITY_ID,NAME,MIN_UNIT,UNIT_OF_MEASURE_ID,CODE
a6b17e67-4b25-48d0-9c45-9cbbcd4bc21d,f7d994e3-7d8f-40f1-8b91-cb5852ac8e1d,Piling - MMS,TABLE,b47e3a91-6f0c-4b8a-9e17-28c5a4d63f2b,
27add2ad-7e35-4f5a-af0a-696be9d594d7,6a478a43-a234-4ada-b263-fe14fac487b8,Piling - Inverter,INVERTER,b47e3a91-6f0c-4b8a-9e17-28c5a4d63f2b,
ac5b1b57-fcf7-4401-85ea-8aeacba341b6,e6a71390-9740-4917-afec-4949316234b4,Piling - Robotic Docking System,TABLE,b47e3a91-6f0c-4b8a-9e17-28c5a4d63f2b,
71279d4a-bc33-4379-ac00-6a3c48e7888c,67db5ef9-0510-4b47-9da6-606900c532b2,Piling - LT Cable Hanger System,INVERTER,b47e3a91-6f0c-4b8a-9e17-28c5a4d63f2b,
b545d204-b95c-43f9-a137-9c0dc63f802b,aa61ea24-aadb-420c-a7d8-29325521dad4,IDT Civil - HT / LT Platform,BLOCK,1fa4c5de-937b-41a6-b1c9-08d37f0e9ac4,
16826dc8-b31f-4896-aca3-276b16a4a0e6,ac152b68-de8c-433c-aca4-f613fe00d68d,IDT Civil - Transformer Platform,BLOCK,1fa4c5de-937b-41a6-b1c9-08d37f0e9ac4,
9640b8a6-5436-4535-a81b-235df2bdf263,ac152b68-de8c-433c-aca4-f613fe00d68d,IDT Civil - Aux Transformer Platform,BLOCK,1fa4c5de-937b-41a6-b1c9-08d37f0e9ac4,
161fbbe4-a0c3-4673-9d2a-07a88168d6cf,ac152b68-de8c-433c-aca4-f613fe00d68d,IDT Civil - NIFPS Foundation,BLOCK,1fa4c5de-937b-41a6-b1c9-08d37f0e9ac4,
ac8bb2b1-ac21-4d5e-a14b-6aee88a70f45,ac152b68-de8c-433c-aca4-f613fe00d68d,IDT Civil - BOP,BLOCK,1fa4c5de-937b-41a6-b1c9-08d37f0e9ac4,
ff2f4ea1-394b-4619-8520-8991fc2ff103,ac152b68-de8c-433c-aca4-f613fe00d68d,IDT Civil - Sump,BLOCK,1fa4c5de-937b-41a6-b1c9-08d37f0e9ac4,
6d551a18-9e54-425b-bc3f-f7bdb2ef11c6,1f4f15fd-6bb1-491d-9c31-ff276d016378,MMS Installation,TABLE,d8e29f54-3a2b-4f5d-b6e1-7c8a94f2c7d9,
4ae34f55-2e3e-4626-9604-1fef156543be,133522ed-2739-476a-81cc-d3350a165382,Module Installation,TABLE,b47e3a91-6f0c-4b8a-9e17-28c5a4d63f2b,
3c00c9fa-d3a2-4b76-92da-1ab98321cd0a,719bec76-c52d-4a7b-8a4b-ea70b2f12e76,"Installation of binders/clips, bridges, docking & reverse stations",TABLE,1fa4c5de-937b-41a6-b1c9-08d37f0e9ac4,
7641a52e-f641-4856-aaa2-9ffc45e7fe9d,106b48ca-dff7-48d2-b19a-45c0e75e07ce,IDT Fencing,BLOCK,1fa4c5de-937b-41a6-b1c9-08d37f0e9ac4,
87ae767b-99ce-4768-8276-f7fedaa0c220,106b48ca-dff7-48d2-b19a-45c0e75e07ce,IDT Gravel Laying,BLOCK,1fa4c5de-937b-41a6-b1c9-08d37f0e9ac4,
f782f302-700b-4831-8857-38e7d127b0e5,ca886f71-4630-4f86-9630-1af065c74c20,Transformer,BLOCK,920b3d3d-c488-4d9c-9e9a-a9dda8e23722,
86378b69-8f6a-4b28-8988-77a5545acec4,ca886f71-4630-4f86-9630-1af065c74c20,HT Panel,BLOCK,b47e3a91-6f0c-4b8a-9e17-28c5a4d63f2b,
2cd5e0e5-e129-4038-874d-431014f535b5,ca886f71-4630-4f86-9630-1af065c74c20,'LT Panel',BLOCK,1fa4c5de-937b-41a6-b1c9-08d37f0e9ac4,
