ID,PROJECT_ID,NAME,TYPE,PARENT_ID
fab4ced3-a186-4270-baf6-55dc60cc85d5,e0c901b8-3037-4bc1-885e-654f92aa4d1d,A-16a,PLOT,
37d89635-d928-461b-9bf2-da6086c875f0,e0c901b8-3037-4bc1-885e-654f92aa4d1d,BL04,BLOCK,fab4ced3-a186-4270-baf6-55dc60cc85d5
6fefa5cb-9bdb-4c7e-bc61-9834bb622cb3,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R31-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
dd03a1ed-70e3-48f1-ae16-d836f45e1437,e0c901b8-3037-4bc1-885e-654f92aa4d1d,I41,INVERTER,37d89635-d928-461b-9bf2-da6086c875f0
56e5b286-3d24-4770-bd93-b5344bfabdd5,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R30-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
eec7d33a-04c3-471d-8815-65feef857176,e0c901b8-3037-4bc1-885e-654f92aa4d1d,I40,INVERTER,37d89635-d928-461b-9bf2-da6086c875f0
05afa619-c7f1-487c-a979-a2987b36cac1,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R29-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
388d8b2c-cc7f-4898-a558-a8a88c9f0662,e0c901b8-3037-4bc1-885e-654f92aa4d1d,I39,INVERTER,37d89635-d928-461b-9bf2-da6086c875f0
779f8612-7aed-47c2-a02f-5be310d04aa5,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R28-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
51f3f13f-ce21-4e72-8ce7-6980f3373b46,e0c901b8-3037-4bc1-885e-654f92aa4d1d,I38,INVERTER,37d89635-d928-461b-9bf2-da6086c875f0
1b51781e-d1d7-4398-9c5c-9cd0b3a8321c,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R27-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
28acac8c-32a3-44c7-8c4a-a2da77dd3568,e0c901b8-3037-4bc1-885e-654f92aa4d1d,I37,INVERTER,37d89635-d928-461b-9bf2-da6086c875f0
3d3c1786-11f6-4b78-b5e6-ca1b5994f1b3,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R26-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
db1a848c-d075-4695-8bc7-6a59549dfe73,e0c901b8-3037-4bc1-885e-654f92aa4d1d,I36,INVERTER,37d89635-d928-461b-9bf2-da6086c875f0
a9c9324b-ba5b-483b-8a30-135b873102e4,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R25-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
b5061ab7-55b3-40f0-8020-1b5c4cc7a1f9,e0c901b8-3037-4bc1-885e-654f92aa4d1d,I06,INVERTER,37d89635-d928-461b-9bf2-da6086c875f0
a099c150-53b2-40f6-b52d-7ce27221be86,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R24-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
f5091934-3e12-43ab-a1a9-3b6ba05d00d9,e0c901b8-3037-4bc1-885e-654f92aa4d1d,I05,INVERTER,37d89635-d928-461b-9bf2-da6086c875f0
616669a0-1cf4-4add-9c54-306454e5b120,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R23-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
246639a6-fed4-48bc-876d-ebd907c8026d,e0c901b8-3037-4bc1-885e-654f92aa4d1d,I04,INVERTER,37d89635-d928-461b-9bf2-da6086c875f0
f4bca2d2-cba3-44a6-81f2-e8d08d79c16d,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R22-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
6472bddf-bb3e-4779-b6e9-c8c47dad7994,e0c901b8-3037-4bc1-885e-654f92aa4d1d,I03,INVERTER,37d89635-d928-461b-9bf2-da6086c875f0
d01ce6ed-70b5-4f01-8b76-c5553ded1be3,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R21-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
ff894a48-119e-4ab8-b524-b6e7f7c7ce2f,e0c901b8-3037-4bc1-885e-654f92aa4d1d,I02,INVERTER,37d89635-d928-461b-9bf2-da6086c875f0
0e21e397-b0fd-4746-8b98-b1bb07180401,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R20-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
057359ea-ee55-40a3-8b70-0559b3a8b06f,e0c901b8-3037-4bc1-885e-654f92aa4d1d,I01,INVERTER,37d89635-d928-461b-9bf2-da6086c875f0
a0490501-bbd4-4610-acb7-69c8a750c652,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R19-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
e58cd208-40a6-40b5-87b5-c88bc00b66b7,e0c901b8-3037-4bc1-885e-654f92aa4d1d,I35,INVERTER,37d89635-d928-461b-9bf2-da6086c875f0
164632dd-4f68-47f2-b97d-b0f2127e0c5c,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R18-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
d62e3dab-ba5c-4671-85b0-b9d41aa37bee,e0c901b8-3037-4bc1-885e-654f92aa4d1d,I14,INVERTER,37d89635-d928-461b-9bf2-da6086c875f0
bb4387f1-e17c-4927-a45a-ba469eba5941,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R17-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
4f181bbf-4612-4e49-90fa-7b11c0aef726,e0c901b8-3037-4bc1-885e-654f92aa4d1d,I17,INVERTER,37d89635-d928-461b-9bf2-da6086c875f0
a03537c8-ff42-4de3-8c82-5c2ae3ace46e,e0c901b8-3037-4bc1-885e-654f92aa4d1d,R16-S01,TABLE,37d89635-d928-461b-9bf2-da6086c875f0
